2026-06-15 10:38:37.891 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-15 10:38:38.011 [main] INFO  com.itsm.ticketing.TicketingBackendApplication - Starting TicketingBackendApplication using Java 22.0.1 with PID 33020 (E:\BELAJAR\E-TICKETING\ticketing-backend\target\classes started by Pongo in E:\BELAJAR\E-TICKETING)
2026-06-15 10:38:38.011 [main] INFO  com.itsm.ticketing.TicketingBackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-15 10:38:40.645 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-15 10:38:40.724 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 71 ms. Found 13 JPA repository interfaces.
2026-06-15 10:38:41.713 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2026-06-15 10:38:41.726 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2026-06-15 10:38:41.732 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-06-15 10:38:41.732 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-06-15 10:38:41.798 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-15 10:38:41.798 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3742 ms
2026-06-15 10:38:42.153 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-06-15 10:38:42.256 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-06-15 10:38:42.303 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-06-15 10:38:42.518 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-15 10:38:42.548 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-15 10:38:42.852 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@be1c08a
2026-06-15 10:38:42.884 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-06-15 10:38:42.973 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-06-15 10:38:44.068 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-06-15 10:38:45.037 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-06-15 10:38:45.562 [main] INFO  com.itsm.ticketing.service.FileStorageService - Upload directory initialized: E:\BELAJAR\E-TICKETING\uploads
